Spikeling Vm,Stimulus,Total Current Input,Synapse 1 Vm,Synapse 1 Input,Synapse 2 Vm,Synapse 2 Input
-81.19,0.0,21.49,-90.0,19.25,-96.0,0.0
-81.31,0.0,21.59,-90.0,19.15,-96.0,0.0
-81.02,0.0,25.49,-90.0,19.06,-95.0,0.0
-81.17,0.0,21.39,-90.0,18.96,-96.0,0.0
-81.31,0.0,21.29,-90.0,18.87,-96.0,0.0
-81.02,0.0,25.19,-88.0,18.77,-95.0,0.0
-81.2,0.0,20.89,-88.0,18.68,-96.0,0.0
-81.26,0.0,21.79,-88.0,18.58,-96.0,0.0
-81.11,0.0,23.69,-88.0,18.49,-95.0,0.0
-81.28,0.0,20.65,-88.0,18.4,-96.0,0.0
-81.31,0.0,21.76,-88.0,18.31,-96.0,0.0
-81.11,0.0,23.87,-88.0,18.22,-95.0,0.0
-81.27,0.0,20.56,-88.0,18.12,-96.0,0.0
-81.3,0.0,21.47,-88.0,18.03,-96.0,0.0
-81.14,0.0,23.37,-88.0,17.94,-95.0,0.0
-81.3,0.0,20.28,-88.0,17.85,-96.0,0.0
-81.34,0.0,21.18,-88.0,17.76,-96.0,0.0
-81.17,0.0,23.09,-88.0,17.68,-95.0,0.0
-81.33,0.0,19.99,-88.0,17.59,-96.0,0.0
-81.37,0.0,20.96,-88.0,17.5,-96.0,0.0
-81.2,0.0,22.87,-88.0,17.41,-95.0,0.0
-81.36,0.0,19.77,-88.0,17.33,-96.0,0.0
-81.41,0.0,20.48,-88.0,17.24,-96.0,0.0
-81.26,0.0,22.39,-88.0,17.15,-95.0,0.0
-81.42,0.0,19.5,-88.0,17.07,-96.0,0.0
-81.45,0.0,20.41,-88.0,16.98,-96.0,0.0
-81.28,0.0,22.32,-88.0,16.9,-95.0,0.0
-81.44,0.0,19.22,-88.0,16.81,-96.0,0.0
-81.38,0.0,21.14,-88.0,16.73,-95.0,0.0
-81.31,0.0,21.25,-87.0,16.64,-95.0,0.0
-81.44,0.0,19.22,-87.0,16.56,-96.0,0.0
-81.46,0.0,20.13,-88.0,16.48,-96.0,0.0
-81.29,0.0,21.84,-88.0,16.4,-95.0,0.0
-81.46,0.0,18.75,-88.0,16.31,-96.0,0.0
-81.4,0.0,20.66,-87.0,16.23,-95.0,0.0
-81.37,0.0,20.37,-87.0,16.15,-95.0,0.0
-81.54,0.0,18.29,-87.0,16.07,-96.0,0.0
-81.6,0.0,19.2,-87.0,15.99,-96.0,0.0
-81.44,30.0,21.12,-87.0,15.91,-95.0,0.0
-81.61,30.0,18.03,-78.0,15.83,-96.0,0.0
-81.57,30.0,19.8,-73.0,15.75,-95.0,0.0
-81.54,30.0,19.72,-69.0,15.67,-95.0,0.0
-81.72,30.0,17.63,-66.0,15.59,-96.0,0.0
-81.77,30.0,18.55,-63.0,15.52,-96.0,0.0
-81.61,30.0,20.47,-60.0,15.44,-95.0,0.0
-81.78,30.0,17.39,-57.0,15.36,-96.0,0.0
-81.72,30.0,19.31,-54.0,15.28,-95.0,0.0
-81.68,30.0,19.23,-50.0,15.21,-95.0,0.0
-81.84,30.0,17.15,-48.0,15.13,-96.0,0.0
-81.88,30.0,18.07,-45.0,15.06,-96.0,0.0
-81.71,30.0,19.99,-36.0,14.98,-95.0,0.0
-81.87,30.0,16.91,-30.0,14.91,-96.0,0.0
-81.91,30.0,17.83,-25.0,14.83,-96.0,0.0
-81.47,30.0,22.49,-17.0,17.45,-95.0,0.0
-81.13,30.0,22.08,-8.0,20.04,-96.0,0.0
-80.39,30.0,26.48,3.0,22.44,-95.0,0.0
-79.5,30.0,29.07,18.0,25.03,-95.0,0.0
-78.69,30.0,29.4,43.0,27.37,-96.0,0.0
-77.8,30.0,31.25,-61.0,27.23,-96.0,0.0
-77.03,30.0,31.11,-58.0,27.09,-95.0,0.0
